ID,goal,others,examples,examples-2,examples-3,character,choices_text,choices_nextNode
M1-01,开启对话，主动询问用户的来意和需求，以友好、主动的姿态开启对话，引导用户陈述本次咨询的核心目的与需求。,医生请坐手势,您好，李森！请坐。,今天来是想聊聊什么问题呢？,你有什么咨询需求？,咨询师,(自动继续),M1-02
M1-02,表明来意：说明自己因为看到“渐冻症”的新闻，联想到舅舅相似的肌无力症状，并表达对遗传可能性的担忧和恐惧。,说到是遗传的时候，神态紧张,大夫您好！我想咨询一种遗传病，最近一段时间一直关注新闻里关于“一位名人患有渐冻症”的报道。他的病情发展很快，目前已经不能自理，需要呼吸机辅助呼吸。看到他的样子，想到这与我舅舅的病情有点像，都是肌无力。我在网上查资料，这疾病有部分是遗传的，真是太可怕了！,,,咨询者,(自动继续),M1-03
M1-03,1. 共情安抚：首先识别并安抚咨询者的紧张情绪。2. 定向提问：然后开启家系调查，从核心患病亲属（舅舅）的年龄入手。,(医生安抚情绪),你先不要紧张，和我说一下你舅舅的基本情况。,他今年他多大岁数?,他今年多大年龄了?,咨询师,(自动继续),M1-04
M1-04,回答咨询师关于舅舅年龄的问题，提供准确的年龄信息。,,我舅舅今年50岁,,,咨询者,(自动继续),M1-05
M1-05,病情信息采集（深入）： 聚焦于疾病的时间线和初期状况。1. 提问时长：明确症状出现至今有多长时间。2. 提问细节：引导咨询者回忆并描述最初发病时的具体症状。,,了解了。我们来回忆一下，他第一次出现身体不适是什么时候？最初的具体表现有哪些？,出现症状多长时间了？刚开始发病时是什么状况？,那他出现症状多久了？能把当时发病情况说一下吗？,咨询师,(自动继续),M1-06
M1-06,详细描述舅舅发病的早期症状，包括发病时间、具体表现（如肌肉无力、上楼吃力、肉跳等），以提供更具体的病情信息。,(李森回忆陈述) ,我记得大概 6 年前，我还是初中生。就听妈妈说，舅舅有时有肌肉无力的感觉，抬重物费劲儿；后来上楼也吃力，那时他才 40 多岁，就要抓着扶手上楼。而且那时他还会出 现“肉跳”，就是在大腿这里。,,,咨询者,(自动继续),M1-07
M1-07,家系图构建（母亲同辈）： 以核心患病亲属（舅舅）为锚点，横向展开家系调查，收集其所有同辈亲属（咨询者的母亲、其他姨舅）的人数、年龄和健康状况。,,明白了。为了构建一个清晰的家族图谱，我需要了解一下你母亲这一辈的情况。,除了这个舅舅，你还有其它姨姨和舅舅吗？他们多大年龄？其他人有类似症状吗？,你妈妈有几个兄弟姐妹？他们多大年龄？其他人有类似症状吗？,咨询师,(自动继续),M1-08
M1-08,提供母亲的年龄和健康状况，并确认没有其他姨、舅。,,我妈妈今年47岁，身体健康的。没有其它姨姨和舅舅了。,,,咨询者,(自动继续),M1-09
M1-09,家系图构建（咨询者同辈）： 向下展开家系调查，收集咨询者本人、其亲生兄弟姐妹及表亲（舅舅的孩子）的健康状况。,,好的，接下来了解一下你这一辈。,你有兄弟姐妹吗？另外，你舅舅家有表兄弟姐妹吗？他们都健康吗？,你有兄弟姐妹吗？舅舅有孩子吗？他们身体情况怎么样？,咨询师,(自动继续),M1-10
M1-10,说明自己有一个健康的妹妹，并且舅舅没有孩子。,,我有一个妹妹，健康的。我舅舅没有孩子。,,,咨询者,(自动继续),M1-11
M1-11,家系图构建（外婆辈）： 向上追溯一代，收集咨询者外婆的健康史，并首次尝试验证家族中是否存在垂直遗传的迹象。,,现在我们需要了解一下你外祖母的情况。,你的外婆高寿了？外婆生前也是有类似症状吗？,你的外婆多大年龄了？外婆生前也是有类似症状吗？,咨询师,(自动继续),M1-12
M1-12,说明外婆去世较早，是因意外去世，生前没有类似症状。,,我外婆去世的很早。56 岁时由于一场意外车祸去世的。,,,咨询者,(自动继续),M1-13
M1-13,家系图构建（曾外公辈）： 继续向上追溯，尝试在家系中寻找遗传病的可能源头或更早的患病记录。,,好的，了解了。,你还知道妈妈这面的亲属有类似症状的吗？,家族中更老一辈的长辈里，还有人出现过相似的状况吗？,咨询师,(自动继续),M1-14
M1-14,补充说明，根据母亲的说法，外婆的父亲（曾外公）有类似症状，并提及最终死于肺炎。,（点击系谱图绘制）,没有的。我只听妈妈说，外婆的爸爸有类似的症状，最后老年时是一场肺炎去世的。,,,咨询者,(自动继续),M2-01
M2-01,信息采集（补充）： 从间接描述转向直接证据，向咨询者请求提供能直观反映患者当前病情的视觉材料（如视频、照片）。,点头表示理解,我明白了，关于你舅舅的情况，确实值得关注。首先，我想更直观地了解一下你舅舅现在的状况。,有没有影像资料，需要看一下他发病时的情况？,你方便提供他发病时的视频或者照片吗？,咨询师,(自动继续),M2-02
M2-02,响应咨询师的要求，表示自己有舅舅的视频资料，并准备播放给咨询师看。,（立刻拿出手机，翻找视频）,嗯，这个..... 我有暑假的时候拍摄的视频，里面有我舅舅。您稍等，我找一下。,,,咨询者,(自动继续),M2-02_part2
M2-02_part2,确认视频已找到，并播放给咨询师观看。,,对，是这个，您看。,,,咨询者,(自动继续),M2-02_part3
M2-02_part3,视频内容呈现,（舅舅出现在屏幕上，可以看到他发音略显困难，言语不清，张嘴可见舌肌萎缩，取药时显 得手无力，吞咽困难。）,视频内容呈现,,,系统,(自动继续),M2-05
M2-05,诊断史调查： 明确患者在此之前是否已有过正式的医学诊断，评估其过往的就医经历。,,谢谢你给我看视频。,那你舅舅的病有确诊过吗？,那你舅舅之前有没有去医院做过相关的检查？,咨询师,(自动继续),M2-06
M2-06,解释舅舅没有去大医院确诊的原因，说明之前以为是劳累所致，只是在小诊所做过无效的理疗。,,没有啊，开始一直以为是累的，他就没太在意。之后也一直拖着，没到大医院做详细的检查。自己只是去小诊所做了理疗、按摩，没什么效果。,,,咨询者,(自动继续),M2-07
M2-07,给出行动指令（转诊）： 基于现有信息，为咨询者提供一套清晰、权威且可执行的行动方案。目标需包含：1. 医院等级（三甲）。2. 城市线级（一线）。,,我建议你舅舅尽快去一线城市的三甲医院，那里有更专业的设备和医生可以为您做详细的检查和诊断。,基于目前的情况，拖延下去不是办法。我强烈建议带你舅舅去医疗资源更集中的大城市，找一家三甲医院做个全面的评估。,,咨询师,(自动继续),M2-08
M2-08,接受咨询师的建议，并进一步询问应该挂哪个具体科室的号。,,好的，回头我就和我舅舅说，让他尽快去大医院看看。那我需要找哪个专科的医生来帮助我舅舅做疾病确诊呢？,,,咨询者,(自动继续),M2-09
M2-09,给出行动指令（转诊）： 基于现有信息，为咨询者提供一套清晰、权威且可执行的行动方案。目标需包含：1. 核心科室（神经内科/神神经科/运动神经元病专病门诊/渐冻症专病门诊）。2. 精准方向（运动障碍方向）。,,建议你们找神经内科医生，最好是运动障碍方向的神经内科医生。有结果后，或中途有任何问题可以再来咨询我。,您需要挂的科室是神经内科。这个科室里，专门研究运动神经元疾病的医生对你舅舅的帮助最大。,,咨询师,(自动继续),M2-10
M2-10,表示感谢，结束本次咨询。,,好的，谢谢您。,,,咨询者,(自动继续),M3-00
M3-00,第二次咨询，为咨询者解答并解读检查报告。,（呈现生化检查和神经电生理检查结果，配合对话）,你好，李森！,李森，你好，又见面了。,你好，请坐。这次带来了检查报告，是吗？,咨询师,(自动继续),M3-01
M3-01,第二次咨询，主动向咨询师提供舅舅在神经内科的检查报告，请求解读。,增加初诊查体病历、临床诊断意见；需要生化、电生理检查后有“建议 SBMA 分子诊断字样”的病历,医生好，我带我舅舅去看了神经内科，做了一些检查，这些是检查报告，您帮助看 一下，谢谢！,,,咨询者,(自动继续),M3-02
M3-02,信息同步与诊断聚焦： 1. 解读报告：用通俗的语言转述临床检查报告的关键结论。2. 同步诊断：向咨询者清晰地传达神经内科医生当前的临床怀疑方向——肯尼迪病(SBMA)。,,从神经电生理检查结果可以看出，你舅舅的肌肉问题是来源于神经源性损害；从性激素检查结果可以看出你舅舅的雄烯二酮水平增高，可能存在雄激素分泌或受体水平障碍； 肌酸激酶有增高，说明有肌肉细胞的破坏。由以上的检查和临床拟诊。看来神经内科医生也觉得您的舅舅符合运动神经元病，特别是肯尼迪病的临床诊断。,我看了报告，简单来说，几项关键指标都指向了神经系统导致了肌肉问题，并且内分泌也有一些异常。神经内科医生怀疑是“肯尼迪病”，这个方向是非常有可能的。,这些报告很关键。电生理检查说明问题出在神经上，而不是肌肉本身。再加上肌酸激酶和性激素的异常，神经科医生给出的“肯尼迪病”临床诊断是很有依据的。,咨询师,(自动继续),M3-03
M3-03,询问基因检测的必要性、方式和顾虑,,神经内科医生认为我舅舅可能是肯尼迪病，需要通过基因检测做确诊。请您帮忙给个意见：这个基因检测是否应该做？,医生，这个基因检测是非做不可吗？有没有别的诊断方法？,,咨询者,(自动继续),M3-04_part1
M3-04_part1,论证原理（检测的必要性）： 结构化地从三个层面论证基因检测的决定性价值：1. 诊断层面：是“金标准”，实现从“怀疑”到“确诊”的决定性一步。2. 个体层面：为患者本人的预后判断、治疗方案探索和生育咨询提供根本依据。3. 家族层面：是预防疾病在家族中再次发生的关键，能有效保护其他亲属。,,基因检测非常有必要。首先，它是确诊的‘金标准’，能将临床怀疑变为确切诊断。其次，明确诊断后，无论是对后续治疗、预后判断，还是您家族的生育规划，都有了最根本的依据。最后，这也能帮助家族其他成员了解风险，主动预防。可以说，这是对您舅舅和整个家庭都至关重要的一步。,是的，我强烈建议做。临床诊断总归是推测，只有基因检测能给出一个100%确定的答案。拿到这个结果，我们才能讨论下一步怎么办，否则一切都是未知数。,我强烈建议做。因为临床表现和各项检查都只是“怀疑”，基因检测是唯一能给出100%确定答案的方法，是诊断的“金标准”。拿到确切结果，我们才能讨论后续的治疗和家族预防，否则一切都是猜测。,咨询师,(自动继续),M3-04_part2
M3-04_part2,科普原理（检测的方法学）：详细解释两种基因检测策略（二代测序 vs PCR-STR），分析其优缺点、成本和适用场景，并基于舅舅的明确临床指向，给出专业的建议。,,总之，基因检测对你舅舅和你们家族的价值是非常明确的，可结合自己的需求和经济负担能力选择是否进行基因检测。 ,,,咨询师,(自动继续),M3-04_part3
M3-04_part3,,呈现三碱基重复突变的过程,肯尼迪病的致病基因是 AR 基因，雄激素受体基因，该基因内部有一段 CAG 三碱基重复序列，如果重复数超过阈值（39），就会引发肯尼迪病。这种突变叫三碱基重复突变。 ,,,咨询师,,M3-04_part4
M3-04_part4,,呈现STR-PCR 检测原理,另一种是基于PCR扩增技术，在这个区域的两端设计 PCR 扩 增引物，PCR 扩增出该区域的 DNA 序列后，通过凝胶电泳或毛细管电泳等方法检测 DNA 序列的具体长度，从而计算出 CAG 三碱基重复序列的具体重复数， 这种方法也叫做短片段重复检测（STR）。综上，根据你舅舅的情况，这次基因检测采取 PCR-STR 方法比较合适。,,,咨询师,,M3-04_part5
M3-04_part5,,呈现二代测序技术基本原理,基因检测有两种策略：一种是基于二代测序技术，首先通过外显子捕获技术把与所有与运动障碍相关的基因外显子区捕获下来，再通过二代测序技术测出这些 区域的序列并分析疾病相关致病变异。根据需要可以选择不同数量的、与单基因病相关的基因进行捕获（医学外显子组），甚至是基因组上全部的编码基因（全外显子组）。该技术主要用于分析点突变，对于部分大片段缺失/重复突变，范围较小的动态突变也有一定 的检出能力。优点是检测范围较宽，可以一次检测多个基因。缺点是费用较高，检测所需时 间较长。这种诊断策略适合临床异质性高，诊断指向性不高的疾病。,,,咨询师,,M3-06
M3-06,在了解检测方法后，直接询问基因检测的价格。,,价格是多少？价格很贵吗？,,,咨询者,(自动继续),M3-07
M3-07,科普原理（检测的方法学）： （重点优化） 对比两种核心基因检测技术，并给出专家建议：1. 解释“广撒网”策略 (NGS)：介绍二代测序的广度优势，同时点明其针对此类特定突变可能“漏检”的风险和高昂的成本。2. 解释“精确打击”策略 (PCR-STR)：介绍PCR-STR技术如何精准、高效、低成本地检测目标突变。3. 给出结论：基于性价比和精准度，明确推荐PCR-STR为当前最优选择。,呈现STR-PCR 检测原理,单人检测费用是 500 元，不贵。因为基因和突变类型特殊，使用的方法是成本比较低的 PCR-STR 技术，所以费用不高。如果不懂这个病和基因突变的特殊性，选用诸如全外显子组测序等其它看似更高端的技术，不但费用高，而且有可能漏检这个AR 基因的动态突变。,费用不高，大约几百元。因为我们推荐的方法是专门针对这个疾病的，性价比很高。需要提醒的是，千万不要盲目选择那些听起来“高大上”的全基因检测，它们虽然贵，但在检测肯尼迪病这种特殊突变时，反而有可能检测不出来。,价格您放心，非常亲民。我们是“对症下药”，采用了一种叫做PCR-STR的成熟技术，成本可控。如果用了错误的技术，比如全外显子组测序，不仅可能多花几十倍的钱，还可能得到一个“未发现异常”的错误结果，那就得不偿失了。,咨询师,(自动继续),M4-01
M4-01,第三次咨询，主动提供舅舅的分子诊断报告，请求专业解读和最终确认。,（将报告递给咨询师）（放大诊断报告内容，配合后续对话）,医生，您好！上周舅舅到医院做了分子诊断，这是他的诊断报告。请您帮助看一下,,,咨询者,(自动继续),M4-02
M4-02,宣布诊断结果： 解读分子诊断报告，以清晰、明确、不含糊的语言，正式告知咨询者最终诊断结果为SBMA，并指出其遗传学病因（AR基因动态突变）。,AR 基因内部序列变长的过程,嗯，分子诊断也支持是延髓脊髓性肌萎缩，是典型的雄激素受体基因突变导致的，你舅舅的AR基因内部序列变长了，超出了正常人群的范围。,根据检查报告，可以判断舅舅患有SBMA，是AR基因动态突变引起的，舅舅的AR基因内部序列扩展到X个了,好的，这份分子诊断报告确认了我们之前的推测。诊断名称是“延髓脊髓性肌萎缩”，病因就是AR基因的动态突变。,咨询师,(自动继续),M4-03
M4-03,对于基因突变导致严重疾病感到困惑，询问其背后的科学原理，比如为什么基因变长了反而有害。,,怎么一个基因突变就这么严重？,基因是怎么突变的？,,咨询者,(自动继续),M4-04
