ID,goal,others,examples,examples-2,character,choices_text,choices_nextNode
M1-01,开启对话，主动询问用户的来意和需求，以友好、主动的姿态开启对话，引导用户陈述本次咨询的核心目的与需求。,医生请坐手势,您好，李森！请坐。你有什么咨询需求？,您好，李森！请坐。你需要什么帮助吗？,咨询师,,M1-02
M1-02,李森陈述烦恼,说到是遗传的时候，神态紧张,大夫您好！我想咨询一种遗传病，最近一段时间一直关注新闻里关于“一位名人患有渐冻症”的报道。他的病情发展很快，目前已经不能自理，需要呼吸机辅助呼吸。看到他 的样子，想到这与我舅舅的病情有点像，都是肌无力。我在网上查资料，这疾病有部分是遗传的，真是太可怕了！,,咨询者,(自动继续),M1-03
M1-03, 1. 共情安抚：首先识别并安抚咨询者的紧张情绪。2. 定向提问：然后开启家系调查，从核心患病亲属（舅舅）的年龄入手。,(医生安抚情绪),你先不要紧张。和我说一下你舅舅的基本情况，他今年多大年龄了?,你先平静一下。和我说一下你舅舅的基本情况，他今年他多大岁数?,咨询师,,M1-04
M1-04,回答舅舅年龄,,我舅舅今年50岁,,咨询者,(自动继续),M1-05
M1-05,病情信息采集（深入）： 聚焦于疾病的时间线和初期状况。1. 提问时长：明确症状出现至今有多长时间。2. 提问细节：引导咨询者回忆并描述最初发病时的具体症状。,,那他出现症状多久了？能把当时发病情况说一下吗？,出现症状多长时间了？刚开始发病时是什么状况？,咨询师,,M1-06
M1-06,回忆舅舅症状,(李森回忆陈述) ,我记得大概 6 年前，我还是初中生。就听妈妈说，舅舅有时有肌肉无力的感觉，抬重物费劲儿；后来上楼也吃力，那时他才 40 多岁，就要抓着扶手上楼。而且那时他还会出 现“肉跳”，就是在大腿这里。,,咨询者,(自动继续),M1-07
M1-07,家系图构建（母亲同辈）： 以核心患病亲属（舅舅）为锚点，横向展开家系调查，收集其所有同辈亲属（咨询者的母亲、其他姨舅）的人数、年龄和健康状况。,,那你妈妈有几个兄弟姐妹？他们多大年龄？其他人有类似症状吗？,除了这个舅舅，你还有其它姨姨和舅舅吗？他们多大年龄？其他人有类似症状吗？,咨询师,(自动继续),M1-08
M1-08,回答母亲情况,,我妈妈今年47岁，身体健康的。没有其它姨姨和舅舅了。,,咨询者,(自动继续),M1-09
M1-09,家系图构建（咨询者同辈）： 向下展开家系调查，收集咨询者本人、其亲生兄弟姐妹及表亲（舅舅的孩子）的健康状况。,,你有兄弟姐妹吗？舅舅有孩子吗？他们身体情况怎么样？,你有兄弟姐妹吗？你有表兄弟姐妹吗？他们身体情况怎么样？,咨询师,(自动继续),M1-10
M1-10,回答子代情况,,我有一个妹妹，健康的。我舅舅没有孩子。,,咨询者,(自动继续),M1-11
